t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
383.51	3346733	93297	3346733	13646655488	799.9	20	0
384.52	3346733	93808	3346733	13647794176	816.1	20	0
385.52	3346733	99817	3346733	13654274048	902.8	20	0
386.53	3346733	102529	3346733	13656330240	855.9	20	0
387.53	3346733	102529	3346733	13656498176	799.8	20	0
388.53	3346733	102529	3346733	13656498176	799.7	20	0
389.54	3346733	102529	3346733	13656080384	807.7	20	0
390.54	3346733	102529	3346733	13656137728	799.9	20	0
391.55	3346733	102529	3346733	13656125440	799.8	20	0
392.55	3346733	102529	3346733	13656047616	808.0	20	0
393.55	3346733	102529	3346733	13656059904	799.7	20	0
394.56	3346733	102529	3346733	13656092672	807.6	20	0
395.56	3346733	102529	3346733	13656444928	799.6	20	0
396.57	3346733	102529	3346733	13656219648	801.1	20	0
397.57	3346733	102529	3346733	13656293376	808.2	20	0
398.57	3346733	102529	3346733	13656391680	800.6	20	0
399.58	3346733	102529	3346733	13656375296	808.5	20	0
400.58	3346733	102529	3346733	13656449024	800.6	20	0
401.59	3346733	102529	3346733	13656461312	800.7	20	0
402.59	3346733	102529	3346733	13656498176	808.6	20	0
403.59	3346733	102529	3346733	13656477696	800.4	20	0
404.60	3346733	102529	3346733	13656711168	808.8	20	0
405.60	3346733	102529	3346733	13656080384	800.5	20	0
406.60	3346733	102529	3346733	13656334336	800.8	20	0
407.61	3346733	102529	3346733	13656338432	808.4	20	0
408.61	3346733	102529	3346733	13656334336	800.4	20	0
409.62	3346733	102529	3346733	13793447936	808.9	20	0
410.62	3346733	102529	3346733	13658796032	800.1	20	0
411.62	3346733	102529	3346733	13661454336	800.6	20	0
412.63	3346733	102529	3346733	13664395264	808.0	20	0
413.63	3346733	102529	3346733	13666873344	799.5	20	0
414.64	3346733	102529	3346733	13670154240	807.7	20	0
415.64	3346733	102529	3346733	13672349696	799.4	20	0
416.64	3346733	102529	3346733	13674848256	799.6	20	0
417.65	3346733	102529	3346733	13677453312	807.6	20	0
418.65	3346733	102529	3346733	13680386048	799.7	20	0
419.66	3346733	102529	3346733	13682786304	807.8	20	0
420.66	3346733	102529	3346733	13685407744	800.6	20	0
421.66	3346733	102529	3346733	13688160256	800.4	20	0
422.67	3346733	102529	3346733	13690359808	808.5	20	0
423.67	3346733	102529	3346733	13693263872	800.6	20	0
424.68	3346733	102529	3346733	13695741952	808.4	20	0
425.68	3346733	102529	3346733	13698711552	800.4	20	0
426.68	3346733	102529	3346733	13700952064	799.6	20	0
427.69	3346733	102529	3346733	13703622656	807.7	20	0
428.69	3346733	102529	3346733	13706399744	800.5	20	0
429.70	3346733	102529	3346733	13709049856	808.2	20	0
430.70	3346733	102529	3346733	13710979072	800.5	20	0
431.70	3346733	102529	3346733	13713739776	800.4	20	0
432.71	3346733	102529	3346733	13716361216	808.9	20	0
433.71	3346733	102529	3346733	13719920640	801.0	20	0
434.72	3346733	102529	3346733	13722980352	808.0	20	0
435.72	3346733	102529	3346733	13725327360	800.6	20	0
436.72	3346733	102529	3346733	13728186368	800.9	20	0
437.73	3346733	102529	3346733	13731094528	808.9	20	0
438.73	3346733	102529	3346733	13734100992	800.7	20	0
439.74	3346733	102529	3346733	13736910848	808.6	20	0
440.74	3346733	102529	3346733	13739896832	800.6	20	0
441.74	3346733	102529	3346733	13741989888	800.8	20	0
442.75	3346733	102529	3346733	13744525312	808.5	20	0
443.75	3346733	102529	3346733	13747515392	800.7	20	0
444.76	3346733	102529	3346733	13750288384	800.9	20	0
445.76	3346733	102529	3346733	13753458688	808.7	20	0
446.76	3346733	102529	3346733	13756141568	800.8	20	0
447.77	3346733	102529	3346733	13758816256	809.0	20	0
448.77	3346733	102529	3346733	13761597440	800.7	20	0
449.78	3346733	102529	3346733	13763420160	800.4	20	0
450.78	3346733	102529	3346733	13766430720	808.6	20	0
451.78	3346733	102529	3346733	13768925184	800.7	20	0
452.79	3346733	106363	3346733	13776060416	875.6	20	0
453.79	3346733	112310	3346733	13785530368	904.2	20	0
454.79	3346733	118328	3346733	13793910784	904.0	20	0
455.80	3346733	120899	3346733	13799084032	853.8	20	0
456.80	3346733	120899	3346733	13800570880	800.6	20	0
457.81	3346733	120899	3346733	13803532288	808.5	20	0
458.81	3346733	120899	3346733	13806166016	800.6	20	0
459.81	3346733	120899	3346733	13808562176	800.5	20	0
460.82	3346733	120899	3346733	13811343360	808.9	20	0
461.82	3346733	120899	3346733	13813522432	800.6	20	0
462.83	3346733	120899	3346733	13815652352	808.5	20	0
463.83	3346733	120899	3346733	13819289600	800.7	20	0
464.83	3346733	120899	3346733	13821628416	800.3	20	0
465.84	3346733	120899	3346733	13823569920	807.5	20	0
466.84	3346733	120899	3346733	13826875392	800.6	20	0
467.85	3346733	120899	3346733	13829611520	808.7	20	0
468.85	3346733	120899	3346733	13832773632	800.7	20	0
469.85	3346733	120899	3346733	13835190272	800.6	20	0
470.86	3346733	120899	3346733	13837484032	808.8	20	0
471.86	3346733	120899	3346733	13840375808	801.0	20	0
472.87	3346733	120899	3346733	13842903040	808.4	20	0
473.87	3346733	120899	3346733	13845258240	800.4	20	0
474.87	3346733	120899	3346733	13848276992	800.8	20	0
475.88	3346733	120899	3346733	13850923008	808.2	20	0
476.88	3346733	120899	3346733	13853413376	799.6	20	0
477.89	3346733	120899	3346733	13856305152	807.2	20	0
478.89	3346733	120899	3346733	13859053568	800.0	20	0
479.90	3346733	120899	3346733	13861335040	807.0	20	0
480.90	3346733	120899	3346733	13864497152	799.7	20	0
481.91	3346733	120899	3346733	13866692608	799.5	20	0
482.91	3346733	120899	3346733	13869699072	807.6	20	0
483.91	3346733	120899	3346733	13871837184	799.6	20	0
484.92	3346733	123383	3346733	13878173696	850.5	20	0
485.92	3346733	129390	3346733	14012268544	905.3	20	0
486.93	3346733	130179	3346733	13888638976	819.7	20	0
