t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
437.74	0	119842	0	9517670400	709.0	26	4
438.74	0	119842	0	9517580288	594.1	26	4
439.74	0	120304	0	9517502464	631.2	26	4
440.75	0	120420	0	9518235648	583.3	26	4
441.75	0	120981	0	9519104000	607.9	26	4
442.76	0	120981	0	9519009792	659.5	26	4
443.76	0	121475	0	9519255552	648.2	26	4
444.76	0	121689	0	9520504832	641.8	26	4
445.77	0	122149	0	9520656384	669.6	26	4
446.77	0	122280	0	9521569792	616.5	26	4
447.78	0	122626	0	9520803840	635.6	26	4
448.78	0	123317	0	9522163712	684.3	26	4
449.78	0	123317	0	9521479680	642.7	26	4
450.79	0	123794	0	9521860608	652.3	26	4
451.79	0	123794	0	9522307072	622.4	26	4
452.80	0	124469	0	9523646464	681.6	26	4
453.80	0	124469	0	9523015680	645.1	26	4
454.80	0	124929	0	9523863552	640.0	26	4
455.81	0	124929	0	9523752960	702.4	26	4
456.81	0	125638	0	9524662272	641.7	26	4
457.82	0	125638	0	9524350976	611.0	26	4
458.82	0	126100	0	9524846592	641.1	26	4
459.82	0	126100	0	9524215808	643.4	26	4
460.83	0	126791	0	9525178368	674.3	26	4
461.83	0	126791	0	9525325824	590.0	26	4
462.84	0	126923	0	9526165504	595.6	26	4
463.84	0	127251	0	9526263808	680.7	26	4
464.84	0	127367	0	9526231040	594.5	26	4
465.85	0	127959	0	9526509568	670.1	26	4
466.85	0	127959	0	9526468608	610.5	26	4
467.85	0	128420	0	9527549952	597.8	26	4
468.86	0	128535	0	9527861248	646.0	26	4
469.86	0	129111	0	9527394304	651.8	26	4
470.87	0	129111	0	9527758848	589.3	26	4
471.87	0	129571	0	9528410112	648.5	26	4
472.87	0	129703	0	9528905728	616.7	26	4
473.88	0	130278	0	9528946688	650.6	26	4
474.88	0	130278	0	9528700928	668.5	26	4
475.89	0	130740	0	9529225216	633.1	26	4
476.89	0	130806	0	9530109952	641.4	26	4
477.89	0	131433	0	9529982976	669.0	26	4
478.90	0	131433	0	9529806848	648.8	26	4
479.90	0	131877	0	9530228736	630.3	26	4
480.91	0	131877	0	9530331136	629.3	26	4
481.91	0	132585	0	9531949056	661.0	26	4
482.91	0	132585	0	9531396096	638.1	26	4
483.92	0	133029	0	9531760640	624.2	26	4
484.92	0	133160	0	9532657664	694.7	26	4
485.93	0	133736	0	9532436480	645.7	26	4
486.93	0	133736	0	9532739584	634.3	26	4
487.93	0	134180	0	9533218816	640.7	26	4
488.94	0	134312	0	9533251584	656.6	26	4
489.94	0	134904	0	9533181952	659.0	26	4
490.95	0	134904	0	9533579264	676.8	26	4
491.95	0	135348	0	9534431232	631.0	26	4
492.95	0	135479	0	9534660608	647.9	26	4
493.96	0	136056	0	9534840832	657.2	26	4
494.96	0	136056	0	9534734336	690.2	26	4
495.97	0	136500	0	9535741952	703.8	26	4
496.97	0	136632	0	9535868928	646.1	26	4
497.97	0	137210	0	9536139264	634.9	26	4
498.98	0	137210	0	9536172032	595.5	26	4
499.98	0	137654	0	9537085440	690.9	26	4
500.99	0	137786	0	9537765376	661.0	26	4
501.99	0	138361	0	9537818624	632.1	26	4
502.99	0	138427	0	9538154496	656.4	26	4
